,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,STREET,Lat,Long,Location
464229,202009227,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,E13,574,0,2/3/2020 16:00,2020,2,Monday,16,WASHINGTON ST,42.309718,-71.104294,"(42.30971800, -71.10429400)"
435085,202040534,3123,EXPLOSIVES - TURNED IN OR FOUND,B3,469,0,6/10/2020 21:19,2020,6,Wednesday,21,WALK HILL ST,42.277914,-71.094529,"(42.27791400, -71.09452900)"
464987,202008415,617,LARCENY THEFT FROM BUILDING,D4,626,0,1/31/2020 14:12,2020,1,Friday,14,PETERBOROUGH ST,42.343393,-71.098492,"(42.34339300, -71.09849200)"
438474,202036897,2007,VIOLATION - RESTRAINING ORDER (NO ARREST),B3,468,0,5/28/2020 19:00,2020,5,Thursday,19,WELLINGTON HILL ST,42.280396,-71.094731,"(42.28039600, -71.09473100)"
465122,202008264,614,LARCENY THEFT FROM MV - NON-ACCESSORY,E13,638,0,1/31/2020 7:24,2020,1,Friday,7,BOYLSTON ST,42.316997,-71.106067,"(42.31699700, -71.10606700)"
452232,202022186,616,LARCENY THEFT OF BICYCLE,D4,167,0,3/21/2020 18:00,2020,3,Saturday,18,HARRISON AVE,42.339541,-71.069408,"(42.33954100, -71.06940800)"
444617,202030304,3301,VERBAL DISPUTE,D4,134,0,4/30/2020 13:40,2020,4,Thursday,13,NEWBURY ST,42.351179,-71.076666,"(42.35117900, -71.07666600)"
450885,202023629,801,ASSAULT - SIMPLE,B2,612,0,3/29/2020 2:54,2020,3,Sunday,2,FRANCIS ST,42.336062,-71.107828,"(42.33606200, -71.10782800)"
434554,202041129,2647,THREATS TO DO BODILY HARM,C11,355,0,6/12/2020 12:10,2020,6,Friday,12,GIBSON ST,42.297555,-71.059709,"(42.29755500, -71.05970900)"
460031,202013796,1106,FRAUD - CREDIT CARD / ATM FRAUD,C6,200,0,2/19/2020 17:30,2020,2,Wednesday,17,W BROADWAY,42.341287,-71.054679,"(42.34128700, -71.05467900)"
436042,202039511,3801,M/V ACCIDENT - OTHER,C11,402,0,6/6/2020 21:45,2020,6,Saturday,21,BAILEY ST,42.284665,-71.066021,"(42.28466500, -71.06602100)"
462807,202010756,3501,MISSING PERSON,B2,282,0,2/8/2020 14:30,2020,2,Saturday,14,WASHINGTON ST,42.328662,-71.085634,"(42.32866200, -71.08563400)"
442182,202032907,3115,INVESTIGATE PERSON,C6,209,0,5/12/2020 7:47,2020,5,Tuesday,7,E FIRST ST,42.338065,-71.040243,"(42.33806500, -71.04024300)"
448556,202026126,3006,SICK/INJURED/MEDICAL - PERSON,E18,493,0,4/10/2020 1:09,2020,4,Friday,1,RIVERSIDE SQ,42.25966,-71.114534,"(42.25966000, -71.11453400)"
452475,202021938,3115,INVESTIGATE PERSON,E13,574,0,3/21/2020 12:06,2020,3,Saturday,12,WASHINGTON ST,42.309718,-71.104294,"(42.30971800, -71.10429400)"
430522,202045468,3115,INVESTIGATE PERSON,D14,794,0,6/28/2020 15:15,2020,6,Sunday,15,COMMONWEALTH AVE,42.349065,-71.134146,"(42.34906500, -71.13414600)"
436654,202038860,801,ASSAULT - SIMPLE,D14,801,0,6/4/2020 10:45,2020,6,Thursday,10,FARRINGTON AVE,42.354459,-71.130912,"(42.35445900, -71.13091200)"
465891,202007413,614,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,355,0,1/27/2020 17:00,2020,1,Monday,17,GIBSON ST,42.297555,-71.059709,"(42.29755500, -71.05970900)"
457456,202016579,3005,SICK ASSIST,B3,428,0,2/29/2020 0:00,2020,2,Saturday,0,MORTON ST,42.28187,-71.087511,"(42.28187000, -71.08751100)"
452039,202022390,3831,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,355,0,3/14/2020 23:00,2020,3,Saturday,23,GIBSON ST,42.297555,-71.059709,"(42.29755500, -71.05970900)"
437557,202037883,3410,TOWED MOTOR VEHICLE,C11, ,0,6/1/2020 9:19,2020,6,Monday,9,GRAMPIAN WAY,42.310261,-71.047739,"(42.31026100, -71.04773900)"
466051,202007243,1402,VANDALISM,E18,520,0,1/26/2020 21:00,2020,1,Sunday,21,HYDE PARK AVE,42.256215,-71.124019,"(42.25621500, -71.12401900)"
449651,202024950,1402,VANDALISM,B2,331,0,4/1/2020 19:00,2020,4,Wednesday,19,BIRD ST,42.314639,-71.068332,"(42.31463900, -71.06833200)"
439909,202035357,1107,FRAUD - IMPERSONATION,E13,637,0,5/21/2020 14:00,2020,5,Thursday,14,BOYLSTON ST,42.31858,-71.109898,"(42.31858000, -71.10989800)"
446729,202028050,3006,SICK/INJURED/MEDICAL - PERSON,B2,267,0,4/19/2020 18:22,2020,4,Sunday,18,VINE ST,42.3263,-71.077649,"(42.32630000, -71.07764900)"
428606,202047515,3801,M/V ACCIDENT - OTHER,D4,167,0,7/1/2020 23:00,2020,7,Wednesday,23,HARRISON AVE,42.339541,-71.069408,"(42.33954100, -71.06940800)"
437844,202037577,3114,INVESTIGATE PROPERTY,B3, ,0,5/31/2020 3:06,2020,5,Sunday,3,HARWOOD ST,42.285764,-71.087632,"(42.28576400, -71.08763200)"
434635,202041043,3803,M/V ACCIDENT - PERSONAL INJURY,B3,477,0,6/12/2020 13:39,2020,6,Friday,13,HARVARD ST,42.276086,-71.108341,"(42.27608600, -71.10834100)"
450497,202024043,615,LARCENY THEFT OF MV PARTS & ACCESSORIES,E13,574,0,3/31/2020 10:17,2020,3,Tuesday,10,WASHINGTON ST,42.309718,-71.104294,"(42.30971800, -71.10429400)"
447164,202027594,3005,SICK ASSIST,C11,393,0,4/17/2020 10:31,2020,4,Friday,10,MONSIGNOR PATRICK J. LYDON WAY,42.288661,-71.061305,"(42.28866100, -71.06130500)"
455380,202018815,3108,FIRE REPORT,C11,374,0,3/8/2020 19:39,2020,3,Sunday,19,BLOOMINGTON ST,42.290002,-71.046575,"(42.29000200, -71.04657500)"
451534,202022938,2662,BALLISTICS EVIDENCE/FOUND,B3,410,0,3/25/2020 16:51,2020,3,Wednesday,16,MORTON ST,42.275293,-71.072712,"(42.27529300, -71.07271200)"
445554,202029302,619,LARCENY ALL OTHERS,C11,405,0,4/25/2020 17:28,2020,4,Saturday,17,DORCHESTER AVE,42.273577,-71.067704,"(42.27357700, -71.06770400)"
436552,202038971,520,BURGLARY - RESIDENTIAL,B3,428,0,6/4/2020 13:00,2020,6,Thursday,13,MORTON ST,42.282405,-71.088227,"(42.28240500, -71.08822700)"
456476,202017644,301,ROBBERY,D4,270,0,3/4/2020 17:37,2020,3,Wednesday,17,NORTHAMPTON ST,42.333951,-71.075389,"(42.33395100, -71.07538900)"
448888,202025768,1402,VANDALISM,B2, ,0,4/6/2020 5:30,2020,4,Monday,5,AVENUE LOUIS PASTEUR,42.338302,-71.102352,"(42.33830200, -71.10235200)"
455665,202018513,1402,VANDALISM,B2,298,0,3/4/2020 21:00,2020,3,Wednesday,21,CIRCUIT SQ,42.323376,-71.086647,"(42.32337600, -71.08664700)"
454444,202019831,3005,SICK ASSIST,A7,18,0,3/12/2020 12:39,2020,3,Thursday,12,BREMEN ST,42.378429,-71.027786,"(42.37842900, -71.02778600)"
453857,202020457,3115,INVESTIGATE PERSON,B2,293,0,3/14/2020 17:27,2020,3,Saturday,17,JUNIPER ST,42.324672,-71.089223,"(42.32467200, -71.08922300)"
472447,202000280,520,BURGLARY - RESIDENTIAL,B3,442,0,1/2/2020 4:06,2020,1,Thursday,4,BERNARD ST,42.293509,-71.079913,"(42.29350900, -71.07991300)"
445306,202029567,3114,INVESTIGATE PROPERTY,E5,689,0,4/27/2020 9:51,2020,4,Monday,9,THEODORE PARKER RD,42.292371,-71.150769,"(42.29237100, -71.15076900)"
466547,202006701,1106,FRAUD - CREDIT CARD / ATM FRAUD,C11,355,0,1/24/2020 17:40,2020,1,Friday,17,GIBSON ST,42.297555,-71.059709,"(42.29755500, -71.05970900)"
447990,202026727,3018,SICK/INJURED/MEDICAL - POLICE,C11,355,0,4/13/2020 9:06,2020,4,Monday,9,GIBSON ST,42.297555,-71.059709,"(42.29755500, -71.05970900)"
458887,202015023,3114,INVESTIGATE PROPERTY,E5,736,0,2/24/2020 16:12,2020,2,Monday,16,COREY ST,42.285662,-71.1545,"(42.28566200, -71.15450000)"
455467,202018727,2647,THREATS TO DO BODILY HARM,E13,651,0,3/8/2020 15:26,2020,3,Sunday,15,SOUTH ST,42.302707,-71.114491,"(42.30270700, -71.11449100)"
471842,202000943,3115,INVESTIGATE PERSON,B3,406,0,1/4/2020 13:40,2020,1,Saturday,13,RIVER ST,42.271482,-71.075643,"(42.27148200, -71.07564300)"
430610,202045375,801,ASSAULT - SIMPLE,B2,296,0,6/28/2020 8:03,2020,6,Sunday,8,WARREN ST,42.322216,-71.082067,"(42.32221600, -71.08206700)"
436128,202039418,617,LARCENY THEFT FROM BUILDING,C11,459,0,6/6/2020 11:30,2020,6,Saturday,11,WASHINGTON ST,42.304221,-71.079184,"(42.30422100, -71.07918400)"
442209,202032878,241,SEX OFFENSE - RAPE - FORCIBLE,C11, ,0,5/12/2020 0:28,2020,5,Tuesday,0,WHITTEMORE TER,42.313887,-71.065865,"(42.31388700, -71.06586500)"
449726,202024871,3106,PROPERTY - ACCIDENTAL DAMAGE,D14,793,0,4/3/2020 19:29,2020,4,Friday,19,BRAINERD RD,42.347894,-71.132774,"(42.34789400, -71.13277400)"
461223,202012516,3831,M/V - LEAVING SCENE - PROPERTY DAMAGE,E5,736,0,2/14/2020 23:08,2020,2,Friday,23,HASTINGS ST,42.285258,-71.155265,"(42.28525800, -71.15526500)"
451312,202023174,3301,VERBAL DISPUTE,B3,406,0,3/26/2020 19:28,2020,3,Thursday,19,SOUTHMERE RD,42.270386,-71.084513,"(42.27038600, -71.08451300)"
432075,202043804,3301,VERBAL DISPUTE,B2,901,0,6/22/2020 18:45,2020,6,Monday,18,CORNELIA CT,42.334179,-71.09891,"(42.33417900, -71.09891000)"
444573,202030352,1102,FRAUD - FALSE PRETENSE / SCHEME,D4,154,0,4/25/2020 0:00,2020,4,Saturday,0,RUTLAND SQ,42.341882,-71.078177,"(42.34188200, -71.07817700)"
456921,202017160,3831,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,347,0,3/3/2020 6:37,2020,3,Tuesday,6,ADAMS ST,42.306587,-71.062072,"(42.30658700, -71.06207200)"
439063,202036262,2905,VAL - VIOLATION OF AUTO LAW,D4,172,0,5/20/2020 13:25,2020,5,Wednesday,13,ALBANY ST,42.335683,-71.070433,"(42.33568300, -71.07043300)"
428429,202047701,423,ASSAULT - AGGRAVATED,A15,900,0,7/6/2020 20:47,2020,7,Monday,20,WALFORD WAY,42.378072,-71.054573,"(42.37807200, -71.05457300)"
472756,200151157,1402,VANDALISM,E18,520,0,3/20/2020 16:30,2020,3,Friday,16,HYDE PARK AVE,42.256215,-71.124019,"(42.25621500, -71.12401900)"
454782,202019464,3005,SICK ASSIST,B2,298,1,3/11/2020 1:46,2020,3,Wednesday,1,REGENT ST,42.322558,-71.088171,"(42.32255800, -71.08817100)"
448015,202026700,614,LARCENY THEFT FROM MV - NON-ACCESSORY,A15, ,0,4/13/2020 2:00,2020,4,Monday,2,SCHOOL ST,42.37874,-71.063548,"(42.37874000, -71.06354800)"
462292,202011314,540,BURGLARY - COMMERICAL,D4,143,0,2/11/2020 3:26,2020,2,Tuesday,3,BOYLSTON ST,42.348623,-71.082776,"(42.34862300, -71.08277600)"
446569,202028218,3114,INVESTIGATE PROPERTY,D4,138,0,4/20/2020 15:16,2020,4,Monday,15,NEWBURY ST,42.34942,-71.083158,"(42.34942000, -71.08315800)"
459605,202014252,3201,PROPERTY - LOST/ MISSING,D4,130,0,2/21/2020 16:09,2020,2,Friday,16,BOYLSTON ST,42.349801,-71.078409,"(42.34980100, -71.07840900)"
433703,202042052,801,ASSAULT - SIMPLE,C6,186,0,6/16/2020 10:11,2020,6,Tuesday,10,BOSTON ST,42.322199,-71.061107,"(42.32219900, -71.06110700)"
430909,202045058,3410,TOWED MOTOR VEHICLE,E13, ,0,6/26/2020 21:18,2020,6,Friday,21,DUNGARVEN RD,42.305451,-71.105862,"(42.30545100, -71.10586200)"
466927,202006290,3005,SICK ASSIST,B2,281,0,1/24/2020 3:54,2020,1,Friday,3,MORELAND ST,42.324923,-71.08069,"(42.32492300, -71.08069000)"
455916,202018250,3114,INVESTIGATE PROPERTY,D14,789,0,3/4/2020 13:00,2020,3,Wednesday,13,ENGLEWOOD AVE,42.337321,-71.151483,"(42.33732100, -71.15148300)"
444209,202030739,3006,SICK/INJURED/MEDICAL - PERSON,B2,258,0,5/2/2020 7:36,2020,5,Saturday,7,VIRGINIA ST,42.31694,-71.067192,"(42.31694000, -71.06719200)"
450875,202023639,3006,SICK/INJURED/MEDICAL - PERSON,C11,402,0,3/29/2020 7:18,2020,3,Sunday,7,BAILEY ST,42.284665,-71.066021,"(42.28466500, -71.06602100)"
453998,202020307,3005,SICK ASSIST,D4, ,0,3/14/2020 5:52,2020,3,Saturday,5,MASSACHUSETTS AVE & ALBANY ST,42.333575,-71.073427,"(42.33357500, -71.07342700)"
436503,202039021,3301,VERBAL DISPUTE,A15,900,0,6/4/2020 23:00,2020,6,Thursday,23,MONUMENT ST,42.378648,-71.059512,"(42.37864800, -71.05951200)"
439968,202035292,619,LARCENY ALL OTHERS,C11,396,0,5/18/2020 14:05,2020,5,Monday,14,MELBOURNE ST,42.289931,-71.065505,"(42.28993100, -71.06550500)"
454071,202020230,3115,INVESTIGATE PERSON,B3,465,0,3/9/2020 12:30,2020,3,Monday,12,BLUE HILL AVE,42.284825,-71.091373,"(42.28482500, -71.09137300)"
447436,202027308,617,LARCENY THEFT FROM BUILDING,E18,525,0,4/15/2020 18:24,2020,4,Wednesday,18,TRUMAN PKWY,42.241249,-71.126299,"(42.24124900, -71.12629900)"
459296,202014582,3111,LICENSE PREMISE VIOLATION,D14,789,0,2/22/2020 23:37,2020,2,Saturday,23,CHESTNUT HILL AVE,42.336674,-71.151663,"(42.33667400, -71.15166300)"
466340,202006924,3005,SICK ASSIST,E13,639,0,1/26/2020 15:06,2020,1,Sunday,15,ROBINWOOD AVE,42.31624,-71.11267,"(42.31624000, -71.11267000)"
444857,202030049,724,AUTO THEFT,B3,465,0,4/17/2020 11:00,2020,4,Friday,11,BLUE HILL AVE,42.284825,-71.091373,"(42.28482500, -71.09137300)"
446419,202028376,617,LARCENY THEFT FROM BUILDING,C11,355,0,4/20/2020 18:00,2020,4,Monday,18,GIBSON ST,42.297555,-71.059709,"(42.29755500, -71.05970900)"
451966,202022468,3201,PROPERTY - LOST/ MISSING,C6,186,0,3/23/2020 16:00,2020,3,Monday,16,MASSACHUSETTS AVE,42.3511,-71.089613,"(42.35110000, -71.08961300)"
442410,202032653,3114,INVESTIGATE PROPERTY,E5,691,0,5/11/2020 9:29,2020,5,Monday,9,CENTRE ST,42.287093,-71.148221,"(42.28709300, -71.14822100)"
440966,202034218,3005,SICK ASSIST,C11,389,0,5/17/2020 21:10,2020,5,Sunday,21,MILWOOD ST,42.280488,-71.05756,"(42.28048800, -71.05756000)"
435292,202040314,423,ASSAULT - AGGRAVATED,D4,157,1,6/9/2020 23:15,2020,6,Tuesday,23,W BROOKLINE ST,42.340863,-71.073997,"(42.34086300, -71.07399700)"
460679,202013100,3006,SICK/INJURED/MEDICAL - PERSON,A15,40,0,2/17/2020 10:23,2020,2,Monday,10,PARK ST,42.373435,-71.060614,"(42.37343500, -71.06061400)"
433386,202042389,1102,FRAUD - FALSE PRETENSE / SCHEME,A1,77,0,6/15/2020 14:00,2020,6,Monday,14,NEW SUDBURY ST,42.361838,-71.059764,"(42.36183800, -71.05976400)"
446849,202027926,3114,INVESTIGATE PROPERTY,A15,41,0,4/19/2020 0:00,2020,4,Sunday,0,LEXINGTON ST,42.377385,-71.059332,"(42.37738500, -71.05933200)"
456803,202017285,619,LARCENY ALL OTHERS,E5,691,0,3/2/2020 14:11,2020,3,Monday,14,CENTRE ST,42.287093,-71.148221,"(42.28709300, -71.14822100)"
466980,202006232,3115,INVESTIGATE PERSON,D14,750,0,1/23/2020 20:58,2020,1,Thursday,20,GERALD RD,42.340861,-71.160201,"(42.34086100, -71.16020100)"
446714,202028067,3301,VERBAL DISPUTE,A7,25,0,4/19/2020 18:54,2020,4,Sunday,18,MERIDIAN ST,42.38115,-71.039268,"(42.38115000, -71.03926800)"
444866,202030038,619,LARCENY ALL OTHERS,A7,24,0,4/29/2020 0:00,2020,4,Wednesday,0,MONMOUTH ST,42.379544,-71.038779,"(42.37954400, -71.03877900)"
452645,202021749,3803,M/V ACCIDENT - PERSONAL INJURY,B2, ,0,3/20/2020 14:32,2020,3,Friday,14,PARKER ST,42.333759,-71.09574,"(42.33375900, -71.09574000)"
449282,202025338,801,ASSAULT - SIMPLE,B2,319,0,4/6/2020 11:43,2020,4,Monday,11,SEAVER ST,42.306039,-71.086212,"(42.30603900, -71.08621200)"
440155,202035087,3301,VERBAL DISPUTE,C11,817,0,5/21/2020 15:15,2020,5,Thursday,15,DORCHESTER AVE,42.287927,-71.063697,"(42.28792700, -71.06369700)"
451880,202022560,3006,SICK/INJURED/MEDICAL - PERSON,C11,338,0,3/24/2020 6:56,2020,3,Tuesday,6,FIFIELD ST,42.309291,-71.063303,"(42.30929100, -71.06330300)"
471036,202001826,3115,INVESTIGATE PERSON,B2,294,0,1/7/2020 21:06,2020,1,Tuesday,21,SAINT JAMES ST,42.327036,-71.086878,"(42.32703600, -71.08687800)"
472266,202000475,2610,TRESPASSING,A1,103,0,1/2/2020 18:20,2020,1,Thursday,18,WASHINGTON ST,42.3568,-71.05893,"(42.35680000, -71.05893000)"
446015,202028809,1402,VANDALISM,D14,796,0,3/7/2020 0:00,2020,3,Saturday,0,COMMONWEALTH AVE,42.350342,-71.130382,"(42.35034200, -71.13038200)"
451347,202023138,3115,INVESTIGATE PERSON,B3,457,0,3/26/2020 16:27,2020,3,Thursday,16,BLUE HILL AVE,42.300822,-71.085898,"(42.30082200, -71.08589800)"
431502,202044420,2647,THREATS TO DO BODILY HARM,C11,336,0,6/24/2020 17:30,2020,6,Wednesday,17,NORTON ST,42.306265,-71.068645,"(42.30626500, -71.06864500)"
442893,202032152,1109,FRAUD - WIRE,B2,294,0,5/8/2020 9:00,2020,5,Friday,9,ALPINE ST,42.326428,-71.086287,"(42.32642800, -71.08628700)"
434918,202040732,3110,SERVICE TO OTHER AGENCY,C11,257,0,6/11/2020 0:00,2020,6,Thursday,0,HANCOCK ST,42.310433,-71.06134,"(42.31043300, -71.06134000)"
451014,202023490,3301,VERBAL DISPUTE,B3,439,0,3/28/2020 13:02,2020,3,Saturday,13,STRATTON ST,42.290174,-71.088085,"(42.29017400, -71.08808500)"
455220,202018989,801,ASSAULT - SIMPLE,C11,236,0,3/9/2020 14:40,2020,3,Monday,14,COLUMBIA RD,42.320008,-71.059155,"(42.32000800, -71.05915500)"
441036,202034142,1402,VANDALISM,B2,314,0,4/16/2020 15:30,2020,4,Thursday,15,HAROLD ST,42.315057,-71.090919,"(42.31505700, -71.09091900)"
441184,202033982,3115,INVESTIGATE PERSON,B3,565,0,5/16/2020 16:34,2020,5,Saturday,16,HARVARD ST,42.286992,-71.095167,"(42.28699200, -71.09516700)"
440927,202034263,801,ASSAULT - SIMPLE,E5,562,0,5/18/2020 3:34,2020,5,Monday,3,WASHINGTON ST,42.286881,-71.127662,"(42.28688100, -71.12766200)"
457356,202016684,1832,SICK ASSIST - DRUG RELATED ILLNESS,E18,496,0,3/1/2020 10:45,2020,3,Sunday,10,HYDE PARK AVE,42.26701,-71.120961,"(42.26701000, -71.12096100)"
428609,202047512,3201,PROPERTY - LOST/ MISSING,A7,28,0,7/6/2020 11:20,2020,7,Monday,11,PARIS ST,42.370817,-71.03929,"(42.37081700, -71.03929000)"
472391,202000339,2007,VIOLATION - RESTRAINING ORDER (NO ARREST),E5,732,0,1/2/2020 10:07,2020,1,Thursday,10,DENT ST,42.28295,-71.162865,"(42.28295000, -71.16286500)"
467949,202005160,1402,VANDALISM,B2, ,0,1/20/2020 4:06,2020,1,Monday,4,GENEVA AVE,42.306628,-71.079069,"(42.30662800, -71.07906900)"
429919,202046108,1107,FRAUD - IMPERSONATION,B2,586,0,6/30/2020 13:00,2020,6,Tuesday,13,CHEROKEE ST,42.330477,-71.100727,"(42.33047700, -71.10072700)"
436170,202039372,3005,SICK ASSIST,A1,106,0,6/6/2020 10:00,2020,6,Saturday,10,ARCH ST,42.354873,-71.058612,"(42.35487300, -71.05861200)"
434317,202041395,2914,VAL - OPERATING W/O AUTHORIZATION LAWFUL,A7,1,0,6/13/2020 18:00,2020,6,Saturday,18,BENNINGTON ST,42.39027,-70.996768,"(42.39027000, -70.99676800)"
446687,202028096,3108,FIRE REPORT,D4,141,0,4/19/2020 20:11,2020,4,Sunday,20,HEREFORD ST,42.348946,-71.08574,"(42.34894600, -71.08574000)"
447680,202027058,1402,VANDALISM,C6,200,0,4/14/2020 13:00,2020,4,Tuesday,13,W BROADWAY,42.341287,-71.054679,"(42.34128700, -71.05467900)"
444145,202030807,3201,PROPERTY - LOST/ MISSING,C11,355,0,4/30/2020 8:00,2020,4,Thursday,8,GIBSON ST,42.297555,-71.059709,"(42.29755500, -71.05970900)"
452314,202022104,423,ASSAULT - AGGRAVATED,A7,17,0,3/21/2020 23:49,2020,3,Saturday,23,PRINCETON ST,42.379968,-71.029421,"(42.37996800, -71.02942100)"
431830,202044068,1102,FRAUD - FALSE PRETENSE / SCHEME,B2,282,0,6/23/2020 18:28,2020,6,Tuesday,18,WASHINGTON ST,42.328662,-71.085634,"(42.32866200, -71.08563400)"
452915,202021464,1402,VANDALISM,C11,355,0,3/18/2020 14:30,2020,3,Wednesday,14,GIBSON ST,42.297555,-71.059709,"(42.29755500, -71.05970900)"
460785,202012984,3301,VERBAL DISPUTE,B3,434,0,2/16/2020 20:18,2020,2,Sunday,20,EVANS ST,42.282648,-71.078878,"(42.28264800, -71.07887800)"
430005,202046017,423,ASSAULT - AGGRAVATED,A7,33,0,6/30/2020 19:19,2020,6,Tuesday,19,EVERETT ST,42.365855,-71.030926,"(42.36585500, -71.03092600)"
449302,202025317,1102,FRAUD - FALSE PRETENSE / SCHEME,A1,77,0,4/2/2020 12:00,2020,4,Thursday,12,NEW SUDBURY ST,42.361838,-71.059764,"(42.36183800, -71.05976400)"
452955,202021420,3005,SICK ASSIST,C11,403,0,3/18/2020 0:00,2020,3,Wednesday,0,DORCHESTER AVE,42.279742,-71.066199,"(42.27974200, -71.06619900)"
427119,202049093,3410,TOWED MOTOR VEHICLE,B2,268,0,7/12/2020 2:05,2020,7,Sunday,2,KEEGAN ST,42.329814,-71.076267,"(42.32981400, -71.07626700)"
460931,202012825,3115,INVESTIGATE PERSON,B3,469,0,2/16/2020 4:11,2020,2,Sunday,4,MULVEY ST,42.27924,-71.096673,"(42.27924000, -71.09667300)"
448508,202026176,1106,FRAUD - CREDIT CARD / ATM FRAUD,B2,330,0,4/3/2020 15:00,2020,4,Friday,15,BLUE HILL AVE,42.307821,-71.08354,"(42.30782100, -71.08354000)"
464316,202009132,1832,SICK ASSIST - DRUG RELATED ILLNESS,B2,261,0,2/3/2020 13:43,2020,2,Monday,13,W COTTAGE ST,42.321059,-71.073132,"(42.32105900, -71.07313200)"
431076,202044875,3005,SICK ASSIST,C6,173,0,6/26/2020 13:18,2020,6,Friday,13,DORCHESTER AVE,42.342108,-71.057207,"(42.34210800, -71.05720700)"
446543,202028246,3018,SICK/INJURED/MEDICAL - POLICE,B2,282,0,4/14/2020 16:00,2020,4,Tuesday,16,WASHINGTON ST,42.328662,-71.085634,"(42.32866200, -71.08563400)"
464120,202009340,641,BREAKING AND ENTERING (B&E) MOTOR VEHICLE,C11,355,0,2/3/2020 20:45,2020,2,Monday,20,GIBSON ST,42.297555,-71.059709,"(42.29755500, -71.05970900)"
434433,202041272,1402,VANDALISM,C6,223,0,6/12/2020 18:00,2020,6,Friday,18,E SECOND ST,42.337399,-71.03064,"(42.33739900, -71.03064000)"
459409,202014462,3008,SUICIDE / SUICIDE ATTEMPT,D4,147,0,2/22/2020 14:38,2020,2,Saturday,14,WELLINGTON ST,42.341534,-71.081743,"(42.34153400, -71.08174300)"
453614,202020709,1402,VANDALISM,B2,258,0,3/15/2020 18:41,2020,3,Sunday,18,MONADNOCK ST,42.316338,-71.068799,"(42.31633800, -71.06879900)"
437144,202038327,801,ASSAULT - SIMPLE,D14,786,0,6/2/2020 13:50,2020,6,Tuesday,13,WASHINGTON ST,42.343407,-71.142305,"(42.34340700, -71.14230500)"
434459,202041245,801,ASSAULT - SIMPLE,C11,373,0,6/13/2020 6:11,2020,6,Saturday,6,WILLIAM T MORRISSEY BLVD,42.292583,-71.047762,"(42.29258300, -71.04776200)"
458285,202015677,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C11,257,0,2/26/2020 7:30,2020,2,Wednesday,7,HANCOCK ST,42.310433,-71.06134,"(42.31043300, -71.06134000)"
455613,202018568,801,ASSAULT - SIMPLE,E5,822,0,3/7/2020 19:50,2020,3,Saturday,19,WASHINGTON ST,42.264774,-71.153231,"(42.26477400, -71.15323100)"
443063,202031971,724,AUTO THEFT,D4,167,0,4/28/2020 12:00,2020,4,Tuesday,12,HARRISON AVE,42.339541,-71.069408,"(42.33954100, -71.06940800)"
450190,202024373,2670,HARASSMENT/ CRIMINAL HARASSMENT,B2,282,0,4/1/2020 14:48,2020,4,Wednesday,14,WASHINGTON ST,42.328662,-71.085634,"(42.32866200, -71.08563400)"
469490,202003499,540,BURGLARY - COMMERICAL,D4,138,0,1/12/2020 18:00,2020,1,Sunday,18,NEWBURY ST,42.34942,-71.083158,"(42.34942000, -71.08315800)"
460990,202012762,3802,M/V ACCIDENT - PROPERTY DAMAGE,C11,455,0,2/15/2020 21:23,2020,2,Saturday,21,WASHINGTON ST,42.301447,-71.076813,"(42.30144700, -71.07681300)"
462652,202010921,3501,MISSING PERSON,B2,282,0,2/9/2020 16:50,2020,2,Sunday,16,WASHINGTON ST,42.328662,-71.085634,"(42.32866200, -71.08563400)"
432028,202043854,3301,VERBAL DISPUTE,B3,446,0,6/22/2020 22:37,2020,6,Monday,22,MILLET ST,42.296461,-71.077648,"(42.29646100, -71.07764800)"
443594,202031398,3006,SICK/INJURED/MEDICAL - PERSON,D14,760,0,5/5/2020 9:30,2020,5,Tuesday,9,FAIRBANKS ST,42.350713,-71.162965,"(42.35071300, -71.16296500)"
429777,202046268,3115,INVESTIGATE PERSON,B3,428,0,7/1/2020 17:02,2020,7,Wednesday,17,SUTTON ST,42.281972,-71.089124,"(42.28197200, -71.08912400)"
448420,202026270,3006,SICK/INJURED/MEDICAL - PERSON,B2,325,0,4/10/2020 17:25,2020,4,Friday,17,WOODCLIFF ST,42.316102,-71.077562,"(42.31610200, -71.07756200)"
432065,202043815,3114,INVESTIGATE PROPERTY,C11,355,0,6/22/2020 20:11,2020,6,Monday,20,GIBSON ST,42.297555,-71.059709,"(42.29755500, -71.05970900)"
436122,202039426,3006,SICK/INJURED/MEDICAL - PERSON,E5,680,0,6/6/2020 14:14,2020,6,Saturday,14,BIRCH ST,42.284803,-71.132423,"(42.28480300, -71.13242300)"
451030,202023472,423,ASSAULT - AGGRAVATED,E18,547,1,3/28/2020 11:08,2020,3,Saturday,11,GRASSMERE RD,42.269129,-71.12885,"(42.26912900, -71.12885000)"
